Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
35	6367.77	75.9023	6502.32	6290.35	6651.63	81.0045	6752.72	6547.31	1000.0	1000.0	179999	401.787	129.079	521.733	-55.0724	401.788	129.08	523.061	-54.4457	401.931	128.475	519.093	-53.1686	3.53403	3.77259	30.3527	-13.569	-402.926	8.77706	8.57901	8.73075	6427.469316244125
36	6453.2	88.657	6522.56	6282.08	6851.16	71.1003	6947.65	6738.67	1000.0	1000.0	184999	408.457	129.274	528.438	-52.5222	408.457	129.274	528.216	-49.7148	408.606	128.65	526.885	-50.4116	3.60551	3.77309	30.2409	-14.7582	-409.588	8.7367	8.58443	8.68035	6602.368448972702
37	6582.02	70.7752	6715.96	6507.63	7076.33	114.923	7222.95	6904.81	1000.0	1000.0	189999	415.037	129.382	533.91	-44.485	415.038	129.382	532.917	-44.3903	415.186	128.75	532.426	-45.8062	3.69551	3.78589	27.6671	-13.8305	-416.164	8.69983	8.51589	8.7846	6778.761514425278
38	6378.98	145.5	6540.28	6182.44	7065.2	43.3501	7107.75	6990.78	1000.0	1000.0	194999	421.232	129.654	540.589	-55.7974	421.233	129.654	539.023	-47.8688	421.373	129.019	538.017	-49.509	3.74084	3.79893	31.5539	-15.2977	-422.355	8.66019	8.39528	8.55736	6954.985340356827
39	5062.72	2096.07	6600.23	1069.9	7267.01	94.8876	7367.23	7117.26	1000.0	1000.0	199999	424.532	132.574	543.113	-42.9526	424.532	132.574	543.632	-46.5035	424.662	131.941	540.606	-49.5917	3.76693	3.83598	31.7989	-13.6208	-425.648	9.64203	9.42846	9.26507	7130.538242101669
40	6647.87	81.9523	6784.89	6542.53	7052.37	90.4031	7142.42	6880.57	1000.0	1000.0	204999	429.869	132.49	557.792	-43.2652	429.87	132.491	553.635	-40.6581	429.977	131.861	553.125	-44.5668	3.79847	3.83298	30.5119	-16.4707	-430.953	9.53026	9.24631	9.16961	7305.661167621613
41	6565.03	60.6987	6653.08	6483.44	7136.64	119.384	7291.23	6980.92	1000.0	1000.0	209999	434.986	132.617	561.263	-40.0174	434.987	132.618	558.087	-40.9347	435.084	131.978	556.096	-42.6841	3.85084	3.8379	31.336	-13.3822	-436.06	9.30068	9.08388	9.22902	7480.473672389984
42	6729.75	59.7254	6804.09	6632.13	7075.52	147.938	7286.76	6849.81	1000.0	1000.0	214999	440.169	132.668	565.254	-34.7577	440.169	132.669	561.009	-41.1703	440.254	132.021	559.861	-41.7121	3.9117	3.84994	30.7928	-13.7198	-441.229	9.29977	9.17328	9.05328	7656.040127754211
43	6766.77	179.908	7039.08	6513.71	7395.31	94.6004	7552.3	7280.81	1000.0	1000.0	219999	445.077	132.544	567.281	-37.5731	445.078	132.544	565.928	-42.0593	445.159	131.895	563.299	-37.9708	3.92874	3.82957	32.9663	-14.138	-446.133	9.43115	9.28465	9.33799	7831.313498258591
44	6751.5	93.3696	6841.03	6583.43	7587.36	65.3565	7669.95	7471.35	1000.0	1000.0	224999	449.995	132.455	575.178	-37.8521	449.996	132.455	570.684	-44.3989	450.07	131.8	569.557	-41.1627	3.92476	3.81427	35.6384	-14.6949	-451.033	8.94331	8.75305	8.67714	8006.620018482208
