Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
27	609.27	275.327	864.81	135.979	272.63	303.39	868.276	54.9267	749.0	301.4	139999	53.8213	10.6443	93.4807	-27.5276	53.8214	10.6434	92.5647	-29.3845	0.0110566	0.000112275	0.0114026	0.0107976	-0.00156563	7.99963	2.42673	34.6658	-10.0904	-54.0998	1.88574	1.90179	3985.2430412769318
28	477.626	319.408	927.087	35.207	435.159	378.449	915.463	96.2373	547.0	464.8	144999	55.3139	10.8933	94.9972	-38.9147	55.314	10.893	94.4735	-29.6581	0.0111692	0.000114159	0.0115086	0.0109128	-0.00228535	7.99948	2.43596	36.036	-10.0566	-55.5893	1.93759	1.92782	4124.5896582603455
29	361.298	361.365	926.869	15.3984	805.037	249.857	980.827	313.231	410.643	798.4	149999	56.8932	11.0745	96.2731	-31.1042	56.8933	11.0731	98.3278	-28.814	0.0111552	0.000107287	0.0113955	0.0108741	0.00456686	8.001	2.42951	34.8507	-9.50178	-57.1599	2.07697	2.10109	4287.593075990677
30	723.957	324.48	1059.49	161.301	783.774	255.116	976.539	282.962	740.333	791.4	154999	58.2631	11.1434	97.9276	-30.5896	58.2629	11.1439	99.9804	-27.6251	0.0112511	0.000150558	0.0115315	0.01084	0.0143615	8.00318	2.41288	35.8185	-11.4203	-58.5213	2.12847	2.129	4414.984631538391
31	970.785	65.5203	1065.23	894.396	923.139	41.4641	952.148	841.22	1000.0	1000.0	159999	59.4248	11.3515	98.5487	-32.6348	59.4249	11.3518	100.476	-40.2112	0.0112429	0.000124301	0.011562	0.0109074	-0.0159346	7.99643	2.41786	34.9979	-10.211	-59.6762	2.12477	2.12264	4558.850928068161
32	564.414	368.952	1015.99	28.6902	747.163	333.946	1022.05	122.42	653.125	814.6	164999	60.6351	11.5373	101.539	-72.1536	60.6351	11.5382	102.6	-105.368	0.0112367	0.000118358	0.0115474	0.0109377	0.00300203	8.00065	2.42938	34.4334	-10.4419	-60.8853	2.07857	2.09087	4707.855624437332
33	790.704	404.948	1460.57	68.4967	490.648	343.535	903.604	71.4073	847.833	501.6	169999	61.8381	11.915	102.057	-67.5184	61.8382	11.9142	103.287	-53.9887	0.0112131	0.000152179	0.0116171	0.0109137	0.00519969	8.00113	2.43122	36.6446	-9.03282	-62.0863	2.10962	2.11717	4851.520906448364
34	604.388	256.553	873.159	85.9429	462.887	400.941	980.56	51.9643	678.286	464.8	174999	62.954	12.3173	107.028	-40.4194	62.9539	12.3183	105.621	-30.0364	0.0111101	0.000122694	0.011457	0.0109096	-0.0139954	7.99688	2.46237	40.1475	-13.0135	-63.2003	2.14995	2.12027	4985.979967832565
35	803.312	274.591	1136.56	394.133	835.327	263.365	1090.9	328.885	808.714	850.8	179999	64.0823	12.8343	107.49	-34.5338	64.0822	12.8358	107.005	-34.9748	0.0110636	0.000152622	0.0114033	0.0106884	0.00852816	8.00186	2.47953	40.261	-12.3011	-64.3198	2.2257	2.20205	5146.190628051758
36	705.932	425.553	1262.15	108.631	608.671	399.904	990.32	40.645	621.571	643.8	184999	65.2008	13.3522	108.729	-30.8427	65.2007	13.3543	108.528	-32.6726	0.0110474	0.000142981	0.0113107	0.0107498	-0.00820239	7.99816	2.50236	37.0311	-9.49161	-65.4301	2.19832	2.19024	5270.297787666321
