Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
37	6577.31	82.634	6667.28	6454.48	6536.18	80.6214	6643.47	6428.19	1000.0	1000.0	189999	419.255	131.14	535.195	-126.954	419.255	131.141	536.964	-126.159	419.306	130.447	536.591	-130.57	4.10247	3.70666	33.7206	-15.0519	-420.447	9.45086	8.9303	8.54999	7322.431083917618
38	6411.3	241.394	6604.9	5939.06	7032.73	42.3236	7104.35	6987.55	1000.0	1000.0	194999	424.106	130.625	539.998	-124.24	424.106	130.626	540.415	-121.018	424.143	129.92	540.098	-125.262	4.12014	3.6829	34.0751	-15.2098	-425.274	9.48449	9.00041	8.52559	7514.761040210724
39	6514.19	240.173	6806.08	6230.85	6920.42	75.8872	7066.14	6850.54	1000.0	1000.0	199999	428.834	130.081	545.367	-114.437	428.835	130.082	544.265	-116.503	428.852	129.37	542.312	-118.341	4.1377	3.68218	35.0332	-13.9454	-429.976	9.07306	8.59325	8.28722	7706.0378222465515
40	6594.27	164.869	6859.26	6379.53	7108.27	81.2965	7214.64	6967.84	1000.0	1000.0	204999	433.389	129.646	546.424	-113.675	433.389	129.647	547.499	-111.867	433.39	128.934	544.914	-118.421	4.13396	3.67875	33.7127	-15.3457	-434.495	8.89679	8.43437	8.04974	7899.000250339508
41	6632.1	38.4098	6685.68	6568.02	7124.29	47.5595	7186.47	7043.7	1000.0	1000.0	209999	438.04	128.925	550.356	-112.703	438.04	128.927	550.326	-111.545	438.025	128.203	547.73	-115.52	4.21543	3.68071	35.2579	-15.0315	-439.114	8.7845	8.28508	7.99925	8090.316830396652
42	6737.44	96.2025	6860.33	6608.0	7168.61	29.9218	7205.47	7121.18	1000.0	1000.0	214999	441.933	128.748	553.5	-111.003	441.933	128.749	553.721	-105.285	441.893	128.021	553.977	-112.604	4.17744	3.65764	39.2078	-13.7343	-442.967	8.58952	8.14273	7.91395	8282.628545761108
43	6661.75	180.541	6922.84	6422.96	7134.41	52.458	7184.07	7034.3	1000.0	1000.0	219999	446.43	128.026	557.184	-104.764	446.431	128.027	556.639	-99.6086	446.393	127.293	556.564	-105.17	4.23359	3.67045	35.868	-12.1024	-447.445	8.15703	7.79926	7.4988	8474.878303289413
44	6813.77	42.7493	6863.91	6758.12	7313.27	23.722	7353.58	7288.9	1000.0	1000.0	224999	450.508	127.872	562.552	-98.8196	450.509	127.874	560.993	-102.144	450.457	127.137	558.156	-105.271	4.23101	3.67661	39.4746	-12.9925	-451.493	8.22973	7.79622	7.61264	8667.211395025253
45	6877.63	59.5253	6985.02	6801.39	7379.81	81.7211	7487.58	7269.89	1000.0	1000.0	229999	454.658	127.683	571.817	-98.515	454.659	127.684	574.186	-92.8908	454.597	126.948	573.289	-98.6814	4.24159	3.65848	36.1846	-15.7608	-455.613	7.87313	7.48887	7.33833	8858.97193980217
46	6852.23	142.57	7062.49	6620.98	7188.48	86.5402	7298.03	7047.27	1000.0	1000.0	234999	458.814	127.493	576.627	-97.0712	458.814	127.494	577.832	-89.7103	458.736	126.751	574.997	-95.7719	4.25641	3.65736	38.5161	-15.4286	-459.75	7.89783	7.54948	7.41201	9050.609189748764
