Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
27	5026.63	1985.91	6241.15	1079.79	6444.12	96.2396	6623.04	6355.85	1000.0	1000.0	139999	307.02	117.828	422.368	-49.5535	307.019	117.827	421.199	-45.6308	0.166983	0.00176558	0.170784	0.164036	-0.000895848	5.99945	4.71298	34.0978	-13.9755	-306.546	10.5848	10.7034	3481.4193160533905
28	6054.79	17.3856	6086.13	6034.64	6528.7	50.4354	6591.62	6455.83	1000.0	1000.0	144999	313.281	119.641	431.051	-58.1528	313.28	119.641	429.421	-66.3467	0.168219	0.00138636	0.171822	0.165422	0.00929708	6.00516	4.71346	32.7436	-14.3968	-312.795	10.9106	11.0247	3605.184021472931
29	5730.65	851.495	6247.28	4035.25	6500.08	89.4187	6608.57	6365.51	1000.0	1000.0	149999	320.793	119.822	438.71	-59.9775	320.793	119.823	437.115	-68.6565	0.171839	0.00235841	0.178396	0.168187	0.0124186	6.00701	4.68439	39.0127	-13.3337	-320.284	11.1731	11.3086	3729.091355085373
30	6085.9	115.93	6209.93	5887.32	6536.75	38.794	6596.66	6484.55	1000.0	1000.0	154999	326.873	120.848	443.313	-53.2809	326.873	120.849	441.482	-54.183	0.174579	0.00151727	0.177929	0.170668	0.00390458	6.00219	4.68734	39.9983	-14.0063	-326.345	11.4368	11.5632	3852.952132701874
31	5637.51	703.727	6336.33	4370.77	6538.19	110.091	6676.91	6413.17	1000.0	1000.0	159999	332.919	121.233	447.608	-79.6396	332.919	121.232	448.736	-83.6019	0.17977	0.00198636	0.183891	0.175731	0.00865277	6.00498	4.6838	43.8999	-14.3016	-332.352	11.8766	12.0812	3976.644224882126
32	6314.63	104.831	6437.62	6165.98	6847.93	77.6938	6972.77	6750.68	1000.0	1000.0	164999	338.717	121.258	454.284	-57.9978	338.716	121.259	454.052	-60.078	0.181767	0.00185072	0.185235	0.176849	0.00497082	6.00286	4.66465	39.8239	-12.7717	-338.14	12.3398	12.4341	4100.227832794189
33	6240.82	118.879	6427.8	6079.14	6830.8	116.228	7031.51	6674.84	1000.0	1000.0	169999	344.213	121.393	461.874	-54.4936	344.213	121.394	462.016	-57.066	0.182996	0.00152775	0.187473	0.180314	-0.00247041	5.99849	4.65419	40.314	-13.4	-343.611	12.3493	12.4824	4223.731446504593
34	6324.4	211.574	6700.88	6094.92	6790.1	47.339	6840.59	6720.55	1000.0	1000.0	174999	349.962	120.887	463.317	-27.8882	349.961	120.887	465.315	-35.5514	0.185717	0.0022828	0.190123	0.181778	0.00915843	6.00537	4.61879	41.9686	-15.7226	-349.345	12.0182	12.1048	4347.166137933731
35	6409.19	135.85	6572.6	6180.86	6385.81	62.756	6484.15	6311.17	1000.0	1000.0	179999	355.66	120.836	470.095	-17.08	355.66	120.836	471.592	-22.3149	0.184362	0.00194975	0.18803	0.18025	-0.00332603	5.99796	4.58	41.3947	-14.2936	-355.053	11.5966	11.6779	4470.912106990814
36	6255.62	182.748	6602.3	6067.94	7261.6	32.2274	7319.75	7230.06	1000.0	1000.0	184999	361.471	120.653	474.686	-20.6172	361.47	120.653	474.933	-24.375	0.18714	0.00245781	0.19311	0.182735	0.0113524	6.00673	4.54803	41.0965	-13.3609	-360.837	11.305	11.4266	4594.59708738327
